ID	tweet	label	cleaned_text	translated
ts_train_00001	@user Loku u navela Ku tissunga, tissungue🕳️	negative	Loku u navela Ku tissunga tissungue	If you wish to ssunga the ssucket
ts_train_00002	Aha... Auxeni ti nguavani	negative	Aha Auxeni ti nguavani	Heakeni ku guavani
ts_train_00003	Hahahahaha ih, tipo arrombaram o nhoster, 😂😂👏 https://t.co/OTTuJlkK3l	negative	Hahahahaha ih tipo arrombaram o nhoster	Hahahaha IH tipo Arrombam O Nhoster
ts_train_00004	Hiiiii ni livrarih !!	negative	Hiiiii ni livrarih	Hiiiii and livrarih
ts_train_00005	@user 😱 oh hosi yanga 🙆	negative	oh hosi yanga	Oh my lord
ts_train_00006	@user Eeeeh a nsati lwei a banana maj...	negative	Eeeeh a nsati lwei a banana maj	Eeeeh a woman that banana maj
ts_train_00007	Mu nga ni landzi... Na loya	negative	Mu nga ni landzi Na loya	You follow me with a witch
ts_train_00008	@user A ta ti nhela😂	negative	A ta ti nhela	He will heal them
ts_train_00009	Wa ni Danissa 🙄 https://t.co/1pXjbA0QSI	negative	Wa ni Danissa	You danissa me
ts_train_00010	U gama u Kuma 2 valores https://t.co/TfQYeTa4kI	negative	U gama u Kuma  valores	You then find Vulores
ts_train_00011	Ihhhhhhhhhhh... A chirami ka lomuu!!!!	negative	Ihhhhhhhhhhh A chirami ka lomuu	Ihhhhhhhh he a cherami ka ko nu
ts_train_00012	@user então ungah ni trapalhari wena pah...	negative	então ungah ni trapalhari wena pah	Então don't have a trapalri you pah
ts_train_00013	Hahahah swa nsila só 😂😂😂😂 https://t.co/NILtGhy1pu	negative	Hahahah swa nsila só	Hahah is a nsila só
ts_train_00014	Famba ni ma Range ya wena 😂😂😂😂	negative	Famba ni ma Range ya wena	Go with your own shoes
ts_train_00015	A xilungu xakarata. 🤦🏾	negative	A xilungu xakarata	A English xakarata
ts_train_00016	@user Famba ti gumula hi parede	negative	Famba ti gumula hi parede	Go shooting with pareda
ts_train_00017	U bihile demais, lokhu ulangunta hansi a xikwembo swo kubha I mazwidji. 🤣🤣🤣	negative	U bihile demais lokhu ulangunta hansi a xikwembo swo kubha I mazwidji	He is bad Demais lokhu looks down the bathing God is mazwidjiji
ts_train_00018	Yuh... Mamã... A ni ku lavi mina🕺🏿	negative	Yuh Mamã A ni ku lavi mina	Yuh mamã I don't want you
ts_train_00019	I tinholuene a xwi Dari https://t.co/hAYe2sMVrB	negative	I tinholuene a xwi Dari	I nyholuene in the dari
ts_train_00020	@user Wa hlanha lweyi😂😂	negative	Wa hlanha lweyi	He's clean
ts_train_00021	@user KI está a criar um Vuku Vuku grande sabe	negative	KI está a criar um Vuku Vuku grande sabe	ki está criar um the future grande sabe
ts_train_00022	Messi Wa Nhine 😂	negative	Messi Wa Nhine	Messi is not
ts_train_00023	@user 🙆 hosi yanga 😹😹😹	negative	hosi yanga	My lord
ts_train_00024	@user Uta ni dhlaya	negative	Uta ni dhlaya	You'll have a joke
ts_train_00025	Xitomb* xa wuako https://t.co/r5w8GnhRYw	negative	Xitomb xa wuako	SITUAM OF THE WIFE OF THE WIFE
ts_train_00026	Ih ni livrari, yu. https://t.co/BRPTViLFJc	negative	Ih ni livrari yu	ih and livrari y
ts_train_00027	Ho hi danissa wena wananga https://t.co/zWhrWVFQ4i	negative	Ho hi danissa wena wananga	Hi Danissa you, my son
ts_train_00028	@user Wuaa😅 swa ma SUPERA PATRICK ani tendere😅	negative	Wuaa swa ma SUPERA PATRICK ani tendere	waaa patrick ani tender
ts_train_00029	Hi tafa hi ndlala	negative	Hi tafa hi ndlala	We will die of hunger
ts_train_00030	@user Namuntlha nada baiye, a xirhame ci demanji	negative	Namuntlha nada baiye a xirhame ci demanji	Today Nada Baiye is the xihame C.
ts_train_00031	Suka, xtapora: Niti dlela male ya Mina 🤌🏽 Toh ta falar, Noh ti dlela male yah Mina 😉	negative	Suka xtapora Niti dlela male ya Mina  Toh ta falar Noh ti dlela male yah Mina	From xgupora and I will eat my money toh of the Falar noh they eat yah me
ts_train_00032	@user Hambi uku nhó 🙄, um dia uta sunguna ku phuza na mesma🚶🚶🚶	negative	Hambi uku nhó  um dia uta sunguna ku phuza na mesma	Even if you nhó um dia you will start prating and Mesma
ts_train_00033	Swi mbeni... Mas vale u mielaaaaaaaa	negative	Swi mbeni Mas vale u mielaaaaaaaa	Some things mas u mielaaaaaaaaa
ts_train_00034	Famba uya ti fassa😤 https://t.co/rXNiryPCRL	negative	Famba uya ti fassa	Go and fassa
ts_train_00035	@user Pimissa nhana u tsika madururo	negative	Pimissa nhana u tsika madururo	Pimissa Nhana u tska Madururo
ts_train_00036	Barcelona ( Loko ni file mungane rilane..)	negative	Barcelona  Loko ni file mungane rilane	Barcelona when I'
ts_train_00037	Swa yentxeka não tá nada nice 😭💀	negative	Swa yentxeka não tá nada nice	It's happening Não tá nada Nice
ts_train_00038	Hahahahaha hadjakufa lweyi... É provocar overdose isso! 😂 https://t.co/OicW5UEMax	negative	Hahahahaha hadjakufa lweyi É provocar overdose isso	Hahahahahahaha hahafa this é Provocar Overdose ISSO
ts_train_00039	@user @user Swimbenhane wa dja ku ni hembissa ja 😂😂😂😂😂😂	negative	Swimbenhane wa dja ku ni hembissa ja	The swimbonhane is djaly to reliable ja
ts_train_00040	Aha swa mbangue... Tsala swi mbeni... Hloko ya pao	negative	Aha swa mbangue Tsala swi mbeni Hloko ya pao	Aha vultivicia write some of the PAo head
ts_train_00041	@user Nawene tem que o tsika madururo u pimissa nhana	negative	Nawene tem que o tsika madururo u pimissa nhana	TEM que is leaving madururo and he is pimissa nhana
ts_train_00042	@user @user Ova na vuntswaka lowa nhloko	negative	Ova na vuntswaka lowa nhloko	ova and the head of the head
ts_train_00043	Yuh... Vá djula ku ih hlongola ka tiku ledzi... Ih dhlawileh https://t.co/vpH6wgZKdd	negative	Yuh Vá djula ku ih hlongola ka tiku ledzi Ih dhlawileh	Yuh vá wants to ih kick out of the country ih dhlawilah
ts_train_00044	U ku um dois u mu ba ka xifuva a fa.... Inah... Swa djuleka 😭😭	negative	U ku um dois u mu ba ka xifuva a fa Inah Swa djuleka	You say um dois you beat her chest and die yeh it's necessary
ts_train_00045	Hosi yanga 🙆🏾‍♂️🙆🏾‍♂️🙆🏾‍♂️ https://t.co/fSlFykkTJ0	negative	Hosi yanga ‍‍‍	My Lord
ts_train_00046	Wali wa Dula 😭 https://t.co/sQ0HCqUo7E	negative	Wali wa Dula	Wali is a dula
ts_train_00047	@user Unga hi nhenhentsi wena	negative	Unga hi nhenhentsi wena	Don't be the one to you
ts_train_00048	@user A nguenile matilwene😭	negative	A nguenile matilwene	He was in the powers
ts_train_00049	Ikhali mina ni zunga waku djokuni tolovela - sg	negative	Ikhali mina ni zunga waku djokuni tolovela  sg	Ikhali I and I zunga ku d d.—
ts_train_00050	@user @user Vha ta dlaya😭	negative	Vha ta dlaya	Vha will kill
ts_train_00051	@user Swa kharata mpela... Khambi... Funtsi a ih swi tsiki... 😔	negative	Swa kharata mpela Khambi Funtsi a ih swi tsiki	It's a really fuck
ts_train_00052	U la kuta ka mina Ungati na usiku U zama zama kuni phazamisa ... U la ku nivuyisela a gono ni meticali	negative	U la kuta ka mina Ungati na usiku U zama zama kuni phazamisa  U la ku nivuyisela a gono ni meticali	You're here to come to my coming and you aren't trying to try to corrupt
ts_train_00053	😆😆😆😆😆😆😆😆 A xizame da kwapa mesmo https://t.co/NHgwJMAfrx	negative	A xizame da kwapa mesmo	A zame da memo
ts_train_00054	@user Mas Khasi a u teke nsati hi maka muni!?	negative	Mas Khasi a u teke nsati hi maka muni	What makes mas mas mas
ts_train_00055	Famba ti kundza invejosa 🤣 https://t.co/j7E0qcKys1	negative	Famba ti kundza invejosa	Go to fucking invejosa
ts_train_00056	Ceh Ina ka! I para hi ku yini? https://t.co/HZbhA0cYkE	negative	Ceh Ina ka I para hi ku yini	CEH Ya
ts_train_00057	Ka hissa kola missavene. 😭🌞	negative	Ka hissa kola missavene	ka hessa kola missavene
ts_train_00058	@user @user @user @user @user @user @user Hi maka Ruy 😂	negative	Hi maka Ruy	We Maka ruy
