ID	tweet	label	cleaned_text	translated
am_train_00001	Tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ	negative	Tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ	TesFaye for Cash Wonkey Photo of Profrton Photo
am_train_00002	ይሄው ነው አይደል የእውቀትሽ ጥግ....በሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢም....ደሞ ራስሽን አታስገምቺ	negative	ይሄው ነው አይደል የእውቀትሽ ጥግበሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢምደሞ ራስሽን አታስገምቺ	This Is Next Don't Know Your Knowledge Animony When you talk to why you don't tell you the art
am_train_00003	ዘገበ ይባላል? ሌላ የሚባል ነገር ካለ አንተዉ ንገረን!	negative	ዘገበ ይባላል ሌላ የሚባል ነገር ካለ አንተዉ ንገረን	The Lady Lady, if there is something else, talk to us
am_train_00004	?? ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ ???? ምን ሆኖ ነው ግን? ከሗላ ያለው ቴዲ ሁሉ ፊቱን አዞረ እኮ ??	negative	ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ  ምን ሆኖ ነው ግን ከሗላ ያለው ቴዲ ሁሉ ፊቱን አዞረ እኮ	In the Modern Counk Phouse Remember what you have to worry about our eyes, but the Teddy, whose
am_train_00005	ዠልጥ?? ???? ገገማ	negative	ዠልጥ  ገገማ	Golt Review
am_train_00006	ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ጽርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ	negative	ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ጽርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ	Important to List
am_train_00007	የነዚህን አይነት ወሬ አራጋቢ ነው!  Do you get me!!?	negative	የነዚህን አይነት ወሬ አራጋቢ ነው  Do you get me	Do You GET ME
am_train_00008	ያንተ የበታችነት ስሜት ነው፣ ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ፣ እኛ ብንናገር አንተ መልሰህ እኛን ምን አገባቹ ትላለህ።ያንተን አይነት አለቅላ…	negative	ያንተ የበታችነት ስሜት ነው፣ ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ፣ እኛ ብንናገር አንተ መልሰህ እኛን ምን አገባቹ ትላለህ።ያንተን አይነት አለቅላ…	It's your sense of inferiority, and that no one in an extremism, what you say, "What do you say that you are back to you?
am_train_00009	አብይ እራሡ ጀዋርን እንደ መጠቀሚያ አርጎታል ለዚህ ሁሉ ተጠያቂዉ አብይ ነዉ	negative	አብይ እራሡ ጀዋርን እንደ መጠቀሚያ አርጎታል ለዚህ ሁሉ ተጠያቂዉ አብይ ነዉ	Abii Rair Jawrats as an acquaintance, and the other
am_train_00010	። ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ	negative	። ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ	. An erators of raw
am_train_00011	Arte በገናው ምድር በዚህ ሲያስተክዘን አመሸ	negative	Arte በገናው ምድር በዚህ ሲያስተክዘን አመሸ	ARTE asserted in the harp of the harp
am_train_00012	ላይ !   የእነዛ 86 ምስኪን ንፁሃን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም !  በአንድ ቀን ጀምበር…	negative	ላይ    የእነዛ  ምስኪን ንፁሃን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም   በአንድ ቀን ጀምበር…	Life of the souls of those poor habulets insects will not forget about life ...
am_train_00013	እኔ ሞቻለሁ ???????????????????????? ጌታ ሆይ ኧረ ና!	negative	እኔ ሞቻለሁ  ጌታ ሆይ ኧረ ና	I am dead and Lord of
am_train_00014	ያንች ነፃነት በአማራ ህዝብ ነው ወሬኛ	negative	ያንች ነፃነት በአማራ ህዝብ ነው ወሬኛ	Here is that freedom in Amhara
am_train_00015	እወድሽ ነበረ ዛሬስ ጠላሁሽ  እንደ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧ ወይ ጉድ	negative	እወድሽ ነበረ ዛሬስ ጠላሁሽ  እንደ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧ ወይ ጉድ	I love you today, and I hated it like a seam. Either
