ID	tweet	label	cleaned_text	english_translated
ha_train_00001	@user Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣	negative	Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm	The Northern currency there is nothing azzarah God is enough to be jacacked for the creative of the native or in Nigeria
ha_train_00002	@user Kaga wani Adu ar Banda💔😭 wai a haka Shi ne shugaban sojoji.... Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan	negative	Kaga wani Adu ar Banda wai a haka Shi ne shugaban sojoji Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan	Abain An Aduj besides why the leader of true Buhari wants us to this man Ahanan
ha_train_00003	@user Sai haquri fa yan madrid daman kunce champion din ya muku yawa😂	negative	Sai haquri fa yan madrid daman kunce champion din ya muku yawa	Lo his heart, the Champion of his Champion had you
ha_train_00004	@user Hmmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria 🇳🇬 bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa	negative	Hmmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria  bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa	Hmmm is now the bottom of God's greatest honor to God you keep his prayers to obey the oppressed by the oppressed Nigeria, and to be accepted by God and ask God
ha_train_00005	@user @user Wai gwamno nin Nigeria suna afa kwayoyi ko 😂	negative	Wai gwamno nin Nigeria suna afa kwayoyi ko	Nigeria governs Nigeria are springs of drugs or
ha_train_00006	@user To Ku nemawa talakkawa mafita mana, Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba? Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba, Nan tsohon gwamnan Zamfara yacce sulhu da 'yan bindiga ba shine mafitaba To mi shika nuhi? Mits....😭	negative	To Ku nemawa talakkawa mafita mana Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba Nan tsohon gwamnan Zamfara yacce sulhu da yan bindiga ba shine mafitaba To mi shika nuhi Mits	Well, you have to be besides the direction of the solutions for us, or attacks, but you do not really concern the Father, but you do not mind
ha_train_00007	@user Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa?😂	negative	Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa	The people, the people, they have been moved to the trench
ha_train_00008	@user Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama😡😡😡	negative	Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama	MAH Basan's basis for Islam Basusan worth of Islamic awkward
ha_train_00009	@user 🤣😜🤣😜Shirin ku ya rushe akan Afrika kenan 👌	negative	Shirin ku ya rushe akan Afrika kenan	Your plan has broken over the African
ha_train_00010	@user Rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce.... 😂 #dodontsula 😝	negative	Rarara kai dabanne wallah indai a fannin wakar siyasa ne basirarka ta daban ce  dodontsula	RA SALE WALLLY WALLLY WALL where to the political music is a different shintsula
