ID	tweet	label	cleaned_text	translated
ig_train_00001	Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd	negative	Nna Ike Gwuru ooo	The father of the dadium
ig_train_00002	@user Chineke nna kezi mgbe ole???	negative	Chineke nna kezi mgbe ole	God's Father Kregs When
ig_train_00003	Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW	negative	Lol Isi adirokwanu gi nma	Lol the head you're like you
ig_train_00004	@user haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝	negative	haha Fulani herdsmen akpa amu gi retweet Rie nsi	Haha Fulani Herdsmen I LETWET FREE AT
ig_train_00005	Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG	negative	Nna ghetto di gi na aru biko	The Ghetto father is your husband and body please
ig_train_00006	@user Ezigbo onye iberibe	negative	Ezigbo onye iberibe	A good pieces
ig_train_00007	Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v	negative	Thief Ole Barawo Onye oshi	Thinee how much has been the Oshi
ig_train_00008	Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp	negative	Chukwu nna Afam ị gaghị egbu mmadụ na app a	God Debt You won't kill someone with this app
ig_train_00009	@user Or ma agbalie gi elu🙄	negative	Or ma agbalie gi elu	Or and raise you
ig_train_00010	@user O dikwa egwu😂😂😂😂	negative	O dikwa egwu	It is so awesome
ig_train_00011	@user Lmao Awka na ebi ajo ndu	negative	Lmao Awka na ebi ajo ndu	LMAO AWKA LIKE LIVING
ig_train_00012	@user Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️	negative	Nna ehh ụfọdụ ụmụ nwoke dara iberibe ‍	The father of ehh some men fall
ig_train_00013	@user Rapụ ndị nzuzu	negative	Rapụ ndị nzuzu	To go out to the stupid
ig_train_00014	Taa!! Nnaa, gaa zuru ike. https://t.co/izWxsFTOc0	negative	Taa Nnaa gaa zuru ike	Today the baby go rest
ig_train_00015	Nobody ugly oooo Obu ego na akpari mmadu https://t.co/GdSQUyJZkF	negative	Nobody ugly oooo Obu ego na akpari mmadu	Noobody Ugly Oooo is money Ingraus
ig_train_00016	@user @user @user @user @user @user @user @user @user @user @user Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi	negative	Rijuo nsi onu dia Nkea abuluzia gini Alako kwana muna chairmo ooh before kitikpa agbasa gi isi	Satisfied with a diamas of a diameta what's Alko Ala Muna
ig_train_00017	Negodu mama mmadu 🤦‍♂️ https://t.co/gl9WFQQclZ	negative	Negodu mama mmadu ‍	NEVER LOOKING FORMENT
ig_train_00018	@user @user @user Nsogbu dị kwa.... Ife corona na cause... 😩😩	negative	Nsogbu dị kwa Ife corona na cause	The problem is to fly the Corona and Cause
ig_train_00019	@user Zuzuru Getaway from here... Onye nkogheri...	negative	Zuzuru Getaway from here Onye nkogheri	Fulfilled Getaway LR address to
ig_train_00020	@user @user 🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu..	negative	Agwọ Sia onye ala ọ gaghị ahapụ ntamu	The snake of snake will not let murmur
ig_train_00021	@user @user Thunder fire onu gi ji ekwu ụdịrị ihe a	negative	Thunder fire onu gi ji ekwu ụdịrị ihe a	Thunder Fire Items used to say this
ig_train_00022	@user @user 😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi	negative	I di sure na the okiri agbawabero ya isi	You are kisses and the observer
ig_train_00023	I bu onye nzuzu! 🤦🏾‍♀️ https://t.co/tuihPOz2Ae	negative	I bu onye nzuzu ‍	You are a fool
