ID	tweet	label	cleaned_text	translated
kr_train_00001	@user @user @user @user @user @user @user Hhhhhh ntabyihogoza, ubu x abo yishe bangana ik	negative	Hhhhhh ntabyihogoza ubu x abo yishe bangana ik	Hhhhhh I don't lose it now x Those killed the same as IK
kr_train_00002	@user Amahano?! Ni impanuka, inkangu, inzara.... Muyite izina rikwiye.	negative	Amahano Ni impanuka inkangu inzara Muyite izina rikwiye	Horror is an accident on the hunger in the proper name
kr_train_00003	Ese umuntu aguhaye miliyoni 7 zidorali ngo aryamane numugore wawe cg umukunzi wawe wabyemera🙄????	negative	Ese umuntu aguhaye miliyoni  zidorali ngo aryamane numugore wawe cg umukunzi wawe wabyemera	Does a person give you a million zones to sleep with your wife or your boyfriend
kr_train_00004	Ugira amagambo😏 kandi Ubwo wasanga nawe byagutabara. Jya uvuga uziga😏 https://t.co/9OWOZxquFO	negative	Ugira amagambo kandi Ubwo wasanga nawe byagutabara Jya uvuga uziga	You have words and when you find you and you can help you and say you will learn
kr_train_00005	Ukuntu inama zose zikomeye zirikubera Mu Rwanda ubanza numusi wimperuka uzabera kigali 🤔	negative	Ukuntu inama zose zikomeye zirikubera Mu Rwanda ubanza numusi wimperuka uzabera kigali	How all great tips are in Rwanda first and the last day you will be held Kigali
kr_train_00006	Very sad! Umwana w'Ukwezi 1 koko...😠, Nyamara izi nyagabirama ziba zifite uburwayi bwo mumutwe! Ntamuntu muzima wakora aya mahano❌ https://t.co/66O0C066PX	negative	Very sad Umwana wUkwezi  koko Nyamara izi nyagabirama ziba zifite uburwayi bwo mumutwe Ntamuntu muzima wakora aya mahano	Very Sad Kid of the Moon Really Yet Knowing The Pigeons have a mental illness no one living would do this horror
kr_train_00007	@user @user @user @user @user @user Azajya kwiga aho babyemera muvandi ! Ntawamuzanye ku gahato natubahiriza amabwiriza azajya ahandi leta yashyizeho amashuri menshi	negative	Azajya kwiga aho babyemera muvandi  Ntawamuzanye ku gahato natubahiriza amabwiriza azajya ahandi leta yashyizeho amashuri menshi	He will go to study where they believe in him without being compelled with the instructions that will go to another government established
kr_train_00008	Ariko igitsina gore mukurahe imbaraga zituma murira iyo hapfuye umuntu muziranye?	negative	Ariko igitsina gore mukurahe imbaraga zituma murira iyo hapfuye umuntu muziranye	But do female empty you the strength that makes you cry when a person who knows you
kr_train_00009	Iminsi yo yimurekere, iramubona! Bitinde bitebuke, izamufatanya n'isi bimukarange. https://t.co/sUuZdtfSgF	negative	Iminsi yo yimurekere iramubona Bitinde bitebuke izamufatanya nisi bimukarange	The days of let him see him or her, and it will be a part of him
kr_train_00010	@user @user @user @user @user @user @user @user @user @user Ntabwo abeshya ahubwo ararembye Kuko imikorere nimivugire ye igaragaza uburwayi bufite ikigero cyamujyana i Ndera kwiberayo Ubuzima bwe bwose	negative	Ntabwo abeshya ahubwo ararembye Kuko imikorere nimivugire ye igaragaza uburwayi bufite ikigero cyamujyana i Ndera kwiberayo Ubuzima bwe bwose	He is not lying but he is sick because his performance is a reflection of the sickness that will take him to Ndera to live there
kr_train_00011	Mf iziko yasibye EP ya @user kuri YouTube nizibeshye go ikadagire muri kkblock😤😤 #seriously #Rwanda	negative	Mf iziko yasibye EP ya  kuri YouTube nizibeshye go ikadagire muri kkblock seriously Rwanda	MF Izibbiebbie EP Ya KurleyThe On YouTube I'm wrong and I'm not in KKBLock Seriously Rwanda
kr_train_00012	@user Ni akazi kawe nubunywa ugatwara breathalyzer ikagufata ntuzagire ngo akamaarimaari ntikakuburiye	negative	Ni akazi kawe nubunywa ugatwara breathalyzer ikagufata ntuzagire ngo akamaarimaari ntikakuburiye	It's your job and the drink and take the BREATHALLYZER and take you and don't warn you
kr_train_00013	Nkubu @user nibiki mudukoreye Koko? Ibaze kuba twese dutegereje Ijambo UmukuruW'🇷🇼 agiye kugeza kubanyagihugu! Tukabona umuriro ngo baaa 🤔	negative	Nkubu  nibiki mudukoreye Koko Ibaze kuba twese dutegereje Ijambo UmukuruW agiye kugeza kubanyagihugu Tukabona umuriro ngo baaa	So what do you really do for us to be looking forward to waiting for the word Slightly to come to the citizens and find fire to baaa
kr_train_00014	Ubaye urumukobwa, ufite million 7 munzu, umujura akinjira, akagusaba ko mwakora sex, Cg gutwara ayo amafaranga wahitamo iki?	negative	Ubaye urumukobwa ufite million  munzu umujura akinjira akagusaba ko mwakora sex Cg gutwara ayo amafaranga wahitamo iki	If you become a girl with a million in the house a thief in and ask you that you can do sex cg driving what you would choose
kr_train_00015	Bakwirwe imishwaro abicanyi bihishe mu Bufaransa n'ahandi! Ibigarasha n'amwe mubakurikire mudakoza ibirenge hasi!💪👊 https://t.co/54T1PaNBRO	negative	Bakwirwe imishwaro abicanyi bihishe mu Bufaransa nahandi Ibigarasha namwe mubakurikire mudakoza ibirenge hasi	BAD FIRST KILLING KILLING IN FRANCE NUMBERS AND WITH YOU Follow You Don't Go Fool
kr_train_00016	@user Birababaza kuba wa muntu wa nyuma ubwira ibyawe umukeneyeho ko aguhumuriza nabyo ukabibura	negative	Birababaza kuba wa muntu wa nyuma ubwira ibyawe umukeneyeho ko aguhumuriza nabyo ukabibura	It hurts to be the last person to tell you about yourself that he or she is comforting you and missing it
