ID	tweet	label	cleaned_text	translated
twi_train_00001	kako be shark but wo ti ewu	negative	kako be shark but wo ti ewu	Kako be shark but your head is dead
twi_train_00002	br ne bayie nti na me supporti man city	negative	br ne bayie nti na me supporti man city	br and kind
twi_train_00003	s3 woofis3 mada wafutuo tantan no 3y3wo s3mafa dabiaa mekaewos3 menny3 celebrity s3 wodidimat3ma menso m3yeya wo nana	negative	s woofis mada wafutuo tantan no ywo smafa dabiaa mekaewos menny celebrity s wodidimatma menso myeya wo nana	If you have made you're a wabatu tantan we're in you're imas I'm not i no celebrity If you're going to
twi_train_00004	wabɔdam anaa wo trumu yɛ nkate nkwan aseɛ	negative	wabɔdam anaa wo trumu yɛ nkate nkwan aseɛ	The oslap
twi_train_00005	enfa bi da bra 🤣🤣	negative	enfa bi da bra	It's never before come to come to come
twi_train_00006	messi saf den check en bp na wo kwame danso wo di twe da kor aaa na wawu	negative	messi saf den check en bp na wo kwame danso wo di twe da kor aaa na wawu	Please build saf strong check en bP and your Kwame darsso you eat it for a day aaa and he dies
twi_train_00007	gyae gyae na menk bi da	negative	gyae gyae na menk bi da	Stop stop and I never go
twi_train_00008	ah😂😂😂 na wiegyimi anaaa	negative	ah na wiegyimi anaaa	Ah and airyim ora
twi_train_00009	3nea wani ny3 wosuro a bo wo team din wo team ne papa mu nono	negative	nea wani ny wosuro a bo wo team din wo team ne papa mu nono	What the woman is not fear that call
twi_train_00010	na steph curry no wegyimi anaa	negative	na steph curry no wegyimi anaa	And ste curur no no stupid or
twi_train_00011	1 minute biaaa na broken heart nam mu🤣🤣	negative	minute biaaa na broken heart nam mu	A minuaa and the brokeen heart is passing through
twi_train_00012	saaaa na we wu	negative	saaaa na we wu	Saaaa and we die
twi_train_00013	owura na yesu de3 anka bet fa woho b3n	negative	owura na yesu de anka bet fa woho bn	Lord and Jesus would have Bet took away your wife
twi_train_00014	me bo efu paa😂😂	negative	me bo efu paa	I'm very angry
twi_train_00015	wo nyɛ papa wo🤣🤣🤣	negative	wo nyɛ papa wo	You're not good you
twi_train_00016	de gea +1 1 odwan	negative	de gea   odwan	De Gea Odwan
twi_train_00017	nyame bɛtua npp ka eii	negative	nyame bɛtua npp ka eii	God will pay npp to eii
twi_train_00018	lionel messi papa team ben wab da 😂😂	negative	lionel messi papa team ben wab da	Lionel Messi's father Team ben Wab sleep
twi_train_00019	eiii na rydee na broken heart yi	negative	eiii na rydee na broken heart yi	Eiii and Rydee was the brick Heart This
twi_train_00020	wodeɛ sɛ wano checki hwɛ 😁	negative	wodeɛ sɛ wano checki hwɛ	You're cchecki Look at
twi_train_00021	aaaaahhhhhh so ashaiman afariwa be the gulf city no herrrrr nyankopon b3 tua mo ka paaaaaa branding b3n nie	negative	aaaaahhhhhh so ashaiman afariwa be the gulf city no herrrrr nyankopon b tua mo ka paaaaaa branding bn nie	aaaaahhhhhhhhhhh So ashaiman Ashhaiman a Fullf City I Hirrr God will pay you the most bill of your debts
twi_train_00022	but agradaa ankasa ne trim b3y3 den oo hw human fi fake so	negative	but agradaa ankasa ne trim by den oo hw human fi fake so	But agradaa and trim by hard oo see gum from fake
twi_train_00023	masa wo boa koraaa 😅	negative	masa wo boa koraaa	masa you help at all
twi_train_00024	mbelesem dem aaaaa na new year ababankye	negative	mbelesem dem aaaaa na new year ababankye	Mblesem de a aaaaa and the new year Abankankyer
twi_train_00025	blacko gyai gyimii no cos u belong to god not karishika 😡	negative	blacko gyai gyimii no cos u belong to god not karishika	Blacko stopped the gyimii no cos u beong to God
twi_train_00026	twitter for likes and retweets mu agyimi saa ama mi ka kyere adui kraaa ɔngyi di ahiafoɔ ni adwentsrɛ diɛɛ	negative	twitter for likes and retweets mu agyimi saa ama mi ka kyere adui kraaa ɔngyi di ahiafoɔ ni adwentsrɛ diɛɛ	Twitter for likeds and Retweets has so stupid for me to say Adui Kraaa He's not taking the poor
twi_train_00027	3ka aba fie 🙆‍♂️ sika no ahye 😅	negative	ka aba fie ‍ sika no ahye	Tell it home ‍ money has bound
twi_train_00028	kyerese heaven mpo bo wo ewiese eehu o	negative	kyerese heaven mpo bo wo ewiese eehu o	Even the sign heaven is worth you ende it
twi_train_00029	otan hunu ara kwa	negative	otan hunu ara kwa	Ote forty mere
twi_train_00030	asem b3ba da bi	negative	asem bba da bi	The story will come one day
twi_train_00031	trumu tanka nti you are crushing 😂😂😂 ei alhaji	negative	trumu tanka nti you are crushing  ei alhaji	Trumu tanka so you are crushing ei Alhaji
twi_train_00032	obi nse kofi taylor s3 ne gyimie nu 3ka s3n	negative	obi nse kofi taylor s ne gyimie nu ka sn	Someone ns kofi Taylor s and gyimie sn sn
twi_train_00033	nyame b3tua wonso kasia to 😂😁😊	negative	nyame btua wonso kasia to	God will pay for you kasia
twi_train_00034	krom ayɛ hye too much yɛ tumi bisa ambulance kraa lift	negative	krom ayɛ hye too much yɛ tumi bisa ambulance kraa lift	Crom is a border of Much we've been able to ask Ambulance Kraa Lift
twi_train_00035	alatafo mma br3 o piii atwa mu 40 mpena koraa omo nni bi oman ben nni kanea aaa yaamutu odo nso yaamutu	negative	alatafo mma br o piii atwa mu  mpena koraa omo nni bi oman ben nni kanea aaa yaamutu odo nso yaamutu	ALalata children a lot of time has completely gone completely omo hasn'
twi_train_00036	asw3 wagyimie oooo eeiiii mey3m mpo ashi me s3naa ebi didi bi akyi😂😂😂😂😂😂😂 eeiii kweku picaso	negative	asw wagyimie oooo eeiiii meym mpo ashi me snaa ebi didi bi akyi eeiii kweku picaso	Asw wagymi
